fiyat_tl,puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,temel_donanim_cpu_üretim_teknolojisi,tasarim_kalınlık,tasarim_ağırlık,özelli̇kler_suya_dayanıklılık,temel_bi̇lgi̇ler_çıkış_yılı
39899.0,72.0,6.1 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,3700 mAh,25 W,Var,50 MP,Var,10 MP,Qualcomm Snapdragon 8 Gen 1 (SM8450),8 GB,128 GB,4 nm,7.6 mm,168 Gram,Var,2022
34999.0,76.0,6.1 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,3900 mAh,25 W,Var,50 MP,Var,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 GB,128 GB,4 nm,7.6 mm,168 Gram,Var,2023
13424.2,60.0,6.67 İnç,AMOLED,1080x2400 (FHD+) Piksel,120 Hz,5000 mAh,67 W,Yok,108 MP,Yok,16 MP,Qualcomm Snapdragon 732G (SM7150-AC),8 GB,256 GB,8 nm,8.12 mm,201.8 Gram,Var,2023
14616.5,60.0,6.78 İnç,AMOLED,1224x2720 (FHD+) Piksel,144 Hz,5160 mAh,45 W,Yok,50 MP,Yok,13 MP,MediaTek Dimensity 6400,8 GB,256 GB,6 nm,6.09 mm,156 Gram,Var,2025
30145.0,85.0,6.83 İnç,AMOLED,1280x2772 (FHD+) Piksel,120 Hz,5500 mAh,67 W,Yok,50 MP,Var,32 MP,MediaTek Dimensity 8400,12 GB,512 GB,4 nm,7.5 mm,194 Gram,Var,2025
9946.33,56.0,6.67 İnç,IPS LCD,1080x2400 (FHD+) Piksel,120 Hz,5160 mAh,33 W,Yok,48 MP,Yok,20 MP,Qualcomm Snapdragon 860,6 GB,128 GB,7 nm,9.4 mm,215 Gram,Var,2021
9786.03,55.0,6.7 İnç,AMOLED,1080x2412 (FHD+) Piksel,120 Hz,5000 mAh,33 W,Yok,50 MP,Yok,16 MP,MediaTek Helio G99 (MT6789),8 GB,256 GB,6 nm,7.96 mm,188 Gram,Yok,2023
59424.0,83.0,6.8 İnç,Dynamic AMOLED,1440x3088 (QHD+) Piksel,120 Hz,5000 mAh,45 W,Var,200 MP,Var,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 GB,256 GB,4 nm,8.9 mm,233 Gram,Var,2023
54389.0,96.0,6.36 İnç,AMOLED,1200x2670 (FHD+) Piksel,120 Hz,5240 mAh,90 W,Var,50 MP,Var,32 MP,Qualcomm Snapdragon 8 Elite,12 GB,512 GB,3 nm,8.08 mm,191 Gram,Var,2024
10449.05,57.0,6.78 İnç,AMOLED,1080x2436 (FHD+) Piksel,120 Hz,5000 mAh,33 W,Yok,50 MP,Var,13 MP,MediaTek Helio G100,8 GB,256 GB,6 nm,7.62 mm,180 Gram,Var,2024
18199.0,69.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,5100 mAh,67 W,Yok,200 MP,Var,16 MP,Qualcomm Snapdragon 7s Gen 2 (SM7435-AB),12 GB,256 GB,4 nm,7.98 mm,187 Gram,Var,2023
69197.58,93.0,6.73 İnç,AMOLED,1440x3200 (QHD+) Piksel,120 Hz,5000 mAh,90 W,Var,50 MP,Var,32 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),16 GB,512 GB,4 nm,9.2 mm,219.8 Gram,Var,2024
33699.0,83.0,6.83 İnç,AMOLED,1280x2772 (FHD+) Piksel,120 Hz,5500 mAh,67 W,Yok,50 MP,Var,32 MP,MediaTek Dimensity 8400,12 GB,256 GB,4 nm,7.5 mm,194 Gram,Var,2025
