urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,ekran_ekran_dayanıklılığı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi
114999.00,88,6.7 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,4441 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A17 Pro,6 Çekirdek,3 nm,1.740.400 Puan,8 GB,256 GB,8.25 mm,221 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
18059.00,69,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Samsung Exynos 2100,8 Çekirdek,5 nm,941.400 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,5.0,Var,Android,Var,IPX8
39999.00,77,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,4005 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.405.700 Puan,8 GB,128 GB,7.8 mm,167 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
46999.00,87,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,256 GB,7.2 mm,162 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
37149.06,88,6.67 İnç,AMOLED,FHD+,144 Hz,Xiaomi Longjing Glass,5000 mAh,Var,120 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9300+,8 Çekirdek,4 nm,2.017.000 Puan,12 GB,512 GB,8.39 mm,209 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
74880.00,83,6.7 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass (Gen2),4674 mAh,Var,30 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.572.700 Puan,8 GB,256 GB,7.8 mm,199 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
24960.00,53,6.1 İnç,IPS LCD,HD+,60 Hz,,3110 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A13 Bionic,6 Çekirdek,7 nm,950.700 Puan,4 GB,64 GB,8.3 mm,194 Gram,Cam,Yok,5.0,Var,iOS,Var,IPX8
18614.30,,6.77 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,MediaTek Helio G200,8 Çekirdek,6 nm,,8 GB,256 GB,7.96 mm,195 Gram,,Yok,5.3,Var,Android,Var,IPX5
9599.00,51,6.79 İnç,IPS LCD,FHD+,90 Hz,Corning Gorilla Glass 3,5030 mAh,Var,33 W,Yok,108 MP,Yok,1080p (Full HD),30 fps,13 MP,MediaTek Helio G91,8 Çekirdek,12 nm,275.200 Puan,8 GB,256 GB,8.3 mm,205 Gram,Cam,Yok,5.4,Var,Android,Var,IPX3
28910.76,80,6.67 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8300,8 Çekirdek,4 nm,1.359.000 Puan,12 GB,256 GB,7.8 mm,195 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX8
